,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2513,2017-06-03,2492.6,2582.77,2449.95,2545.43,
2512,2017-06-02,2412.65,2493.97,2385.59,2492.6,
2511,2017-06-01,2303.34,2460.84,2303.34,2412.65,
2510,2017-05-31,2192.55,2330.62,2168.37,2303.34,
2509,2017-05-30,2278.21,2329.26,2147.1,2192.55,
2508,2017-05-29,2189.02,2337.35,2117.34,2278.21,
2507,2017-05-28,2052.43,2300.52,2051.07,2189.02,
2506,2017-05-27,2244.89,2322.37,1868.56,2052.43,
2505,2017-05-26,2306.96,2616.52,2051.45,2244.89,
2504,2017-05-25,2445.28,2781.76,2210.48,2307.22,
2503,2017-05-24,2272.58,2496.98,2263.29,2445.28,
2502,2017-05-23,2124.41,2286.3,2110.78,2272.58,
2501,2017-05-22,2044.19,2264.76,1998.61,2124.41,
2500,2017-05-21,2040.18,2094.94,1980.07,2044.19,
2499,2017-05-20,1962.0,2048.45,1944.4,2040.18,
2498,2017-05-19,1880.99,1969.7,1875.28,1962.0,
2497,2017-05-18,1801.3,1980.49,1791.12,1880.99,
